dg,东莞,25826,30661.303647487028
cs,长沙,26855,6545.30336994973
xm,厦门,32841,50495.379616942235
wx,无锡,35839,11841.88347889171
sz,深圳,36087,32561.545570427024
fs,佛山,39525,7884.230158127767
wh,武汉,52527,3760.998971957279
su,苏州,64000,21498.244890625
jn,济南,62449,22650.424730580155
hf,合肥,74361,18810.544250346284
gz,广州,78551,49210.20715204135
qd,青岛,87835,14957.353458188649
nj,南京,92542,16105.766851807828
dl,大连,100384,33518.273051482305
bj,北京,110816,33614.30842116662
